mng_live_id,title,url,date,thumbnail
1,'【歌枠】念願の歌枠！たくさん好きな歌、歌うょ～！！【星降こゆ／新人Vtuber】,https://www.youtube.com/watch?v=n3PiwtW7sXE,2021-08-22,https://i.ytimg.com/vi/n3PiwtW7sXE/maxresdefault.jpg
2,'【歌枠/Singing】久々歌配信＆重大発表！【 #星降こゆ ／新人Vtuber】,https://www.youtube.com/watch?v=kP5aZAx7c0U,2022-07-09,https://i.ytimg.com/vi/kP5aZAx7c0U/maxresdefault.jpg
3,'【歌枠/Singing】誕生日まで駆け抜けろ！50曲耐久歌配信ﾀﾞ~！！！【 #星降こゆ ／新人Vtuber】　#星降こゆ星誕祭2022,https://www.youtube.com/watch?v=AT-HCBJE-nE,2022-07-22,https://i.ytimg.com/vi/AT-HCBJE-nE/maxresdefault.jpg
4,'【 #声かっこかわいいV歌枠リレー 】ギャップで魅せる！⭐️多声類あかちゃんVtuberの本気、見届けてくださぃ！【 #星降こゆ #歌枠 #Vtuber #KARAOKE 】,https://www.youtube.com/watch?v=IWajnhOjzW4,2024-04-27,https://i.ytimg.com/vi/IWajnhOjzW4/maxresdefault.jpg
5,'【歌枠/Singing】これが、こゆの、すきなうた！【星降こゆ／新人Vtuber】,https://www.youtube.com/watch?v=m9FTIO1IwU4,2022-03-03,https://i.ytimg.com/vi/m9FTIO1IwU4/maxresdefault.jpg
6,'【 #初見歓迎 】毎週恒例！リクエストOK歌枠🎤 🌠【 #星降こゆ #歌枠 #Vtuber #KARAOKE 】,https://www.youtube.com/watch?v=LBClF53_dEA,2024-11-05,https://i.ytimg.com/vi/LBClF53_dEA/maxresdefault.jpg
7,'【 #耐久歌枠  #初見さん大歓迎】年内チャンネル登録者数3333人目指して！耐久歌配信！！！！！！【  #星降こゆ  ／ #新人Vtuber】,https://www.youtube.com/watch?v=ltDA4NZbTWY,2022-12-31,https://i.ytimg.com/vi/ltDA4NZbTWY/maxresdefault.jpg
8,'【#キラキラGW歌枠リレー】流れ星の赤ちゃんが、きらきらをお届け！！Singing Stream【  #星降こゆ #歌配信  】,https://www.youtube.com/watch?v=uZ9xCP1PdCE,2023-05-07,https://i.ytimg.com/vi/uZ9xCP1PdCE/maxresdefault.jpg
9,'【#星降る夜の歌枠リレー】主催、いきます！お友達と紡ぐ、星降る夜の歌枠リレー！⭐　閉会式も！【 #星降こゆ #歌枠 #Vtuber #KARAOKE 】,https://www.youtube.com/watch?v=W0Lj-WyMTCc,2024-07-21,https://i.ytimg.com/vi/W0Lj-WyMTCc/maxresdefault.jpg
10,'【 #初見歓迎 】VRide!感想＆歌枠配信！たくさん話して歌を歌うょ…！💭👼🏻【 #星降こゆ #歌枠 #Vtuber #KARAOKE 】,https://www.youtube.com/watch?v=ohq-Ctneerc,2024-09-22,https://i.ytimg.com/vi/ohq-Ctneerc/maxresdefault.jpg
