mng_music_id,title,artist
1,'シル・ヴ・プレジデント,'P丸様。
2,'愛のシュプリーム(OPサイズver),'fhana
3,'ギラギラ,'Ado
4,'ANIMA,'ReoNa
5,'プラチナ,'坂本真綾
6,'完全感覚Dreamer,'ONE OK ROCK
7,'メンタルチェンソー,'P丸様。
8,'ヴァンパイア,'DECO*27
9,'お勉強しといてよ,'ずっと真夜中でいいのに。
10,'怪物,'YOASOBI
11,'だから僕は音楽を辞めた,'ヨルシカ
12,'群青,'YOASOBI
13,'やさしさで溢れるように,'JUJU
14,'RE:I AM,'Aimer
15,'贖罪,'傘村トータ
16,'会いたくて,'Ado
17,'シルシ,'LiSA
18,'ダイアモンド クレバス,'シェリル・ノーム starring May'n
19,'フリージア,'uru
20,'君の知らない物語,'supercell
21,'もしも…,'モベキマス
22,'春を告げる,'yama
23,'Henceforth,'Orangestar
24,'コネクト,'ClariS
25,'踊,'Ado
26,'ビターチョコデコレーション,'syudou
27,'Fantastic future,'田村ゆかり
28,'オリオンをなぞる,'UNISON SQUARE GARDEN
29,'0-week-old,'ファルル(cv.赤﨑千夏)
30,'紅蓮華,'LiSA
31,'1・2・3,'After the Rain
32,'廻廻奇譚,'Eve
33,'炎,'LiSA
34,'traumerei,'LiSA
35,'魔女っ子メグちゃん,'アンジュルム
36,'凶夢伝染,'ALI PROJECT
37,'ハルジオン,'YOASOBI
38,'魂のルフラン,'高橋洋子
39,'残酷な天使のテーゼ,'高橋洋子
40,'うまぴょい伝説,'ウマ娘
41,'一番の宝物,'Girls Dead Monster
42,'ライオン,"'シェリル・ノーム starring May'n,ランカ・リー=中島愛"
43,'CITRUS,'Da-iCE
44,'イージーゲーム,'natsumi
45,'シンデレラ,'DECO*27
46,'撲殺天使ドクロちゃん,'ドクロちゃん(千葉紗子)
47,'水平線,'back number
48,'from the edge,'FictionJunction feat. LiSA
49,'阿修羅ちゃん,'Ado
50,'ミライチズ,'夜のひと笑い
51,'アスノヨゾラ哨戒班,'Orangestar
52,'ANTI THE∞HOLiC,'Storyteller(GAiA×cosMo@暴走P)
53,'初音ミクの消失,'cosMo@暴走P
54,'Comet,'YOASOBI
55,'別の人の彼女になったよ,'wacci
56,'瞬き,'back number
57,'テオ,'Omoi
58,'バビロン,'トーマ
59,'からくりピエロ,'40mP
60,'p.h.,'SEVENTHLINKS
61,'カンタレラ,'WhiteFlame
62,'ブリキノダンス,'日向電工
63,'About me,'蝶々P
64,'マシンガンポエムドール,'cosMo@暴走P
65,'ハローディストピア,'After the Rain
66,'残響散歌,'Aimer
67,'夜明けと蛍,'n-buna
68,'命に嫌われている,'カンザキイオリ
69,'え？あぁ、そう。,'蝶々P
70,'裏表ラバーズ,'wowaka
71,'脳漿炸裂ガール,'れるりり
72,'一発即答☆解ガール,'れるりり
73,'メルト,'supercell
74,'LOVEマシーン,'モーニング娘。
75,'チクタク私の旬,'Juice＝Juice
76,'今夜だけ浮かれたかった,'つばきファクトリー
77,'会いたい会いたい会いたいな,'℃-ute
78,'Urafa＝Lover,'アンジュルム
79,'初恋サイダー,'Buono!
80,'ブギウギLOVE,'カントリー・ガールズ
81,'ブスにならない哲学,'モベキマス
82,'スッペシャルジェネレ～ション,'Berryz工房
83,'シャボン玉,'モーニング娘。
84,'「ひとりで生きられそう」って それってねえ、褒めているの?,'Juice=Juice
85,'ナルシスカマってちゃん協奏曲第５番,'モーニング娘。’17
86,'ガタメキラ,'太陽とシスコムーン
87,'ね～え？,'松浦亜弥
88,'恋のダンスサイト,'モーニング娘。
89,'赤いイヤホン,'アンジュルム
90,'わがまま気のまま愛のジョーク,'モーニング娘。
91,'続いていくSTORY,'Juice=Juice
92,'フォニイ,'ツミキ
93,'しゅきぴ,'=LOVE
94,'GO! GO! MANIAC,'放課後ティータイム
95,'Los! Los! Los!,'ターニャ・デグレチャフ(悠木碧)
96,'みかん,'モーニング娘。
97,'同担☆拒否,'HoneyWorks
98,'気まぐれプリンセス,'モーニング娘。
99,'Scarlet Ballet,'May'n
100,'神っぽいな,'ピノキオピー
101,'ファンサ,'HoneyWorks
102,'根も葉もRumor,'AKB48
103,'オトメロディー,'高橋美佳子
104,'アンパンマンのマーチ,'ドリーミング
105,'プロミスザスター,'BiSH
106,'いけないボーダーライン,'ワルキューレ
107,'ちきゅう大爆発,'P丸様。
108,'あの世行きのバスに乗ってさらば,'ツユ
109,'低血ボルト,'ずっと真夜中でいいのに。
110,'Dear Mr 「F」,'ずっと真夜中でいいのに。
111,'DaydreamCafé,'Petit Rabbit's
112,'Wonderful Rush,'μ's
113,'心做し,'蝶々P
114,'ヒアルロンリーガール,'ZOC
115,'グリズリーに襲われたら,'神宿
116,'女の子になりたい,'まふまふ
117,'17歳,'HoneyWorks
118,'ズルいよ ズルいね,'=LOVE
119,'可愛くなりたい,'HoneyWorks
120,'Booo!,'TOKOTOKO(西沢さんP)
121,'アリスブルー,'HoneyWorks
122,'ストロー,'aiko
123,'only my railgun,'fripSide
124,'Sincerely,'TRUE
125,'Catch You Catch Me,'グミ
126,'ETERNAL BLAZE,'水樹奈々
127,'Synchrogazer,'水樹奈々
128,'ルル,'やくしまるえつこ
129,'少年よ我に帰れ,'やくしまるえつこ
130,'でび&えん☆Reversible Ring,'アロマゲドン
131,'MOON PRIDE,'ももいろクローバーZ
132,'小さきもの,'林明日香
133,'ハム太郎とっとこうた,'ハムちゃんず
134,'ようこそジャパリパークへ,'どうぶつビスケッツ×PPP
135,'ワンルームシュガーライフ,'ナナヲアカリ
136,'46億年LOVE,'アンジュルム
137,'Teenage Solution,'モーニング娘。'21
138,'Future Smile,'Juice=Juice
139,'初恋サンライズ,'つばきファクトリー
140,'ビタミンME,'BEYOOOOONDS
141,'恋の呪縛,'Berryz工房
142,'まっさらブルージーンズ,'℃-ute
143,'好きかもしれない,'こぶしファクトリー
144,'ミステリーナイト！,'スマイレージ
145,'都営大江戸線の六本木駅で抱きしめて,'CHICA#TETSU
146,'GIRL ZONE,'雨ノ森川海
147,'What is LOVE?,'モーニング娘。'14
148,'Only you,'モーニング娘。
149,'秒針を噛む,'ずっと真夜中でいいのに。
150,'君の体温,'クワガタP
151,'ミカヅキ,'さユり
152,'佐賀事変,'フランシュシュ
153,'ヒッチコック,'ヨルシカ
154,'きゅうくらりん,'いよわ
155,'メルティランドナイトメア,'はるまきごはん
156,'阿吽のビーツ,'羽生まゐご
157,'優しい彗星,'YOASOBI
158,'蝶々結び,'Aimer
159,'脳裏上のクラッカー,'ずっと真夜中でいいのに。
160,'ヒューマノイド,'ずっと真夜中でいいのに。
161,'眩しいのはDNAだけ,'ずっと真夜中でいいのに。
162,'正義,'ずっと真夜中でいいのに。
163,'蹴っ飛ばした毛布,'ずっと真夜中でいいのに。
164,'こんなこと騒動,'ずっと真夜中でいいのに。
165,'ハゼ馳せる果てるまで,'ずっと真夜中でいいのに。
166,'サターン,'ずっと真夜中でいいのに。
167,'暗く黒く,'ずっと真夜中でいいのに。
168,'雲丹と栗,'ずっと真夜中でいいのに。
169,'春雷,'米津玄師
170,'恋色に咲け,'HoneyWorks
171,'春嵐,'john
172,'YELL,'いきものがかり
173,'梅,'私立恵比寿中学
174,'春泥棒,'ヨルシカ
175,'ロマンティック 浮かれモード,'藤本美貴
176,'桜のあと,'UNISON SQUARE GARDEN
177,'心という名の不可解,'Ado
178,'春風,'Rihwa
179,'シンデレラボーイ,'Saucy Dog
180,'トンデモワンダーズ,'sasakure.UK
181,'ロックな君とはお別れだ,'ツユ
182,'ダダダダ天使,'ナナヲアカリ
183,'火炎,'女王蜂
184,'花に亡霊,'ヨルシカ
185,'回る空うさぎ,'Orangestar
186,'オリビアを聴きながら,'尾崎亜美
187,'人間が大好きなこわれた妖怪の唄,'ビートまりお
188,'Ham,'ずっと真夜中でいいのに。
189,'エミリーと15の約束,'majiko
190,'くうになる,'MIMI
191,'デモーニッシュ,'ツユ
192,'永遠のあくる日,'Ado
193,'魔法少女とチョコレゐト,'ピノキオピー
194,'たりねぇ,'syudou
195,'悪魔の子,'ヒグチアイ
196,'猫リセット,'ずっと真夜中でいいのに。
197,'ベノム ,'かいりきベア
198,'フリコドウル,'HIMEHINA
199,'キャットラビング,'香椎モイミ
200,'相思相愛リフレクション,'HIMEHINA
201,'Ark,'Sound Horizon
202,'初音ミクの暴走,'cosMo@暴走P
203,'チルノのパーフェクトさんすう教室,'IOSYS
204,'EYE,'Kanaria
205,'マーシャル・マキシマイザー,'柊マグネタイト
206,'ロキ,'みきとP
207,'ロウワー,'ぬゆり
208,'ヒバナ,'DECO*27
209,'ミックスナッツ,'Official髭男dism
210,'覚醒,'Superfly
211,'Sparkling Daydream,'ZAQ
212,'THERE IS A REASON,'鈴木このみ
213,'ぼなぺてぃーと♡S,'ブレンド・A(和氣あず未、鬼頭明里、春野杏)
214,'ヒャダインのじょーじょーゆーじょー,'ヒャダイン
215,'I beg you,'Aimer
216,'Paradisus-Paradoxum,'MYTH & ROID
217,'ビビっとラブ,'CHiCO with HoneyWorks
218,'Wishing,'レム(水瀬いのり)
219,'This game,'鈴木このみ
220,'Starry Wish,'水瀬いのり
221,'メリュー,'n-buna
222,'白ゆき,'n-bana
223,'曖昧劣情Lover,'電ポルP
224,'あなたの夜が明けるまで,'傘村トータ
225,'ヨワネハキ,'和ぬか
226,'アイロニ,'すこっぷ
227,'ギューされたいだけなのに,'モーニング娘。'20
228,'誇り高きアイドル,'HoneyWorks
229,'夢見る 15歳,'スマイレージ
230,'コットンキャンディえいえいおー！,'黒澤ルビィ(降幡愛)
231,'ヒトガタ,'HIMEHINA
232,'制服のマネキン,'乃木坂46
233,'泳げないMermaid,'アンジュルム
234,'未確認中学生X ,'私立恵比寿中学
235,'ただ君に晴れ,'ヨルシカ
236,'深海少女,'ゆうゆ
237,'IMAWANOKIWA,'いよわ
238,'INTERNET OVERDOSE,'Aiobahn
239,'黒い羊,'欅坂46
240,'Phantom Joke,'UNISON SQUARE GARDEN
241,'いかないで,'想太
242,'六兆年と一夜物語,'kemu
243,'藍二乗,'ヨルシカ
244,'終点の先が在るとするならば。,'ツユ
245,'daze,'じん
246,'死神,'米津玄師
247,'異星にいこうね,'いよわ
248,'女と男のララバイゲーム,'モーニング娘。
249,'Habit,'SEKAI NO OWARI
250,'Black Out,'Azari
251,'bad guy,'BILLIE EILISH
252,'転生林檎,'ピノキオピー
253,'ヴィータ,'柊キライ
254,'とても素敵な六月でした,'Eight
255,'月陽-ツキアカリ-,'みきとP
256,'夏の半券,'みきとP
257,'ダーリンダンス,'かいりきベア
258,'天ノ弱,'164
259,'ロミオとシンデレラ,'doriko
260,'嗤うマネキン,'MI8k
261,'乙女解剖,'DECO*27
262,'シャルル,'バルーン
263,'ヴィラン,'てにをは
264,'きみだけは。,'天月-あまつき-
265,'夏祭り,'Whiteberry
266,'打上花火,'DAOKO × 米津玄師
267,'雨とカプチーノ,'ヨルシカ
268,'だれかの心臓になれたなら,'ユリイ・カノン
269,'惡手,'ユリイ・カノン
270,'アイデンティティ,'Kanaria
271,'お行儀よくね,'てにをは
272,'愛を貰っちゃいけなかった,'傘村トータ
273,'夜に駆ける,'YOASOBI
274,'うっせぇわ,'Ado
275,'KING,'Kanaria
276,'ノーダウト,'Official髭男dism
277,'ナツノカゼ御来光,'じっぷす
278,'君と夏フェス,'SHISHAMO
279,'天体観測,'BUMP OF CHICKEN
280,'夏恋花火,'40mP&シャノ
281,'HOT LIMIT,'T.M.Revolution
282,'鎖の少女,'のぼる↑
283,'想像フォレスト,'じん
284,'エンヴィーベイビー,'Kanaria
285,'セカイはまだ始まってすらいない,'ピノキオピー
286,'シャンティ,'wotaku
287,'撫でんな,'柊マグネタイト
288,'3分ガール,'HIMEHINA
289,'おじゃま虫II,'DECO*27
290,'ツギハギスタッカート,'とあ
291,'『どっくっん。』,'SLAVE.V-V-R
292,'カーニバルハッピー,'かいりきベア
293,'ラグトレイン,'稲葉曇
294,'あだぽしゃ,'いよわ
295,'あいつら全員同窓会,'ずっと真夜中でいいのに。
296,'だいしきゅーだいしゅき,'femme fatale
297,'ウタカタララバイ,'Ado
298,'MOTTAI,'P丸様。
299,'うたかたよいかないで,'HIMEHINA
300,'GIRLS' LEGEND U,'ウマ娘
301,'バグ,'かいりきベア
302,'新時代,'Ado
303,'FAKE LAND,'FAKE TYPE.
304,'恋のクラウチングスタート,'OCHA NORMA
305,'メランコリック,'Junky
306,'QUEEN,'Kanaria
307,'ロスタイムメモリー,'じん
308,'I'm Your Treasure Box *あなたは マリンせんちょうを たからばこからみつけた。,'宝鐘マリン
309,'アドレナリン・ダメ,'つばきファクトリー
310,'Baby Sweet Berry Love,'小倉唯
311,'sweets parade,'髏々宮カルタ(花澤香菜)
312,'もぐもぐYUMMY!,'猫又おかゆ
313,'ディスコミュ星人,'ナナヲアカリ
314,'ちょっとあざとい,'才歌
315,'おねがいダーリン,'ナナホシ管弦楽団
316,'Tot Musica,'Ado
317,'可変３連MIXをおぼえる歌,'iLiFE!
318,'金木犀,'くじら
319,'Happy Halloween,'Junky
320,'Mrs.Pumpkinの滑稽な夢,'ハチ
321,'Crazy Party Night ～ぱんぷきんの逆襲～,'きゃりーぱみゅぱみゅ
322,'ヨセアツメ,'和ぬか
323,'パラサイト,'DECO*27
324,'弱虫モンブラン,'DECO*27
325,'負けないで,'ZARD
326,'小さい秋見つけた,'童謡
327,'ビバハピ,'Mitchie M
328,'ネコミミアーカイブ,'糞田舎P
329,'ウマぴょい伝説,'ウマ娘
330,'bud guy,'ビリー・アイリッシュ
331,'サクリファイス,'まふまふ
332,'SPiCa,'阿部尚
333,'病名恋ワズライ,'HoneyWorks
334,'琥珀の身体,'HIMEHINA
335,'ハロ/ハワユ,'ナノウ
336,'左右盲,'ヨルシカ
337,'カノン,'柊マグネタイト
338,'月のワルツ,'諫山実生
339,'Magia,'Kalafina
340,'すきっ!,'ときめき・宣伝部
341,'アンコール,'YOASOBI
342,'チュープリ,'ZOC
343,'恋は渾沌の隷也,'後ろから這いより隊G
344,'Honey・Come!!,'小倉唯
345,'Rising Hope,'LiSA
346,'祝福,'YOASOBI
347,'Overdose,'なとり
348,'魔法,'さとうもか
349,'死ぬのがいいわ,'藤井 風
350,'キラースパイダー,'ピノキオピー
351,'かたち,'安月名莉子
352,'ノーザンクロス,'シェリル・ノーム starring May'n
353,'KICK BACK,'米津玄師
354,'ユメヲカケル!,'ウマ娘
355,'ゾンビ,'DECO*27
356,'月光,'キタニタツヤ × はるまきごはん
357,'悪魔の踊り方,'こんにちは谷田さん
358,'優しい彗星 English Ver,'YOASOBI
359,'前前前世,'RADWIMPS
360,'なんでもないや,'RADWIMPS
361,'ぴったりしたいX'mas!,'プッチモニ
362,'ちゅ、多様性。,'ano
363,'クリスマスソング,'back number
364,'ギターと孤独と蒼い惑星,'結束バンド
